;Waktu Gempa;Lintang - Bujur;Magnitudo;Kedalaman;Lokasi;Dirasakan (Skala MMI)
76;08/12/2022 19:21:37 WIB;-8.1 - 107.92;3.2;26 Km;77 km BaratDaya KAB-PANGANDARAN-JABAR;
77;08/12/2022 15:39:25 WIB;-7.39 - 106.18;3.6;27 Km;51 km BaratDaya BAYAH-BANTEN;
78;08/12/2022 14:07:37 WIB;-6.87 - 107.11;1.9;10 Km;6 km BaratDaya KAB-CIANJUR-JABAR;
79;08/12/2022 09:23:45 WIB;-6.82 - 107.09;1.5;10 Km;5 km BaratLaut KAB-CIANJUR-JABAR;
80;08/12/2022 07:50:57 WIB;-7.11 - 106.99;5.8;104 Km;22 km Tenggara KOTA-SUKABUMI-JABAR;Dirasakan di Rancaekek IV MMI, Lembang, Bogor, Bandung, Pangandaran, Padalarang, Pamoyanan, Sumedang, dan Cianjur, III MMI, Cisolok, Sumur, Sukabumi,Jakarta Selatan, Garut, Bekasi dan Tangerang Selatan, II MMI
81;08/12/2022 06:40:04 WIB;-6.85 - 107.05;2;19 Km;10 km BaratDaya KAB-CIANJUR-JABAR;
82;08/12/2022 05:53:44 WIB;-6.82 - 107.05;1.5;10 Km;9 km BaratLaut KAB-CIANJUR-JABAR;
83;08/12/2022 01:54:21 WIB;-6.84 - 107.09;1.4;10 Km;5 km BaratDaya KAB-CIANJUR-JABAR;
84;08/12/2022 01:13:36 WIB;-6.83 - 107.02;1.3;14 Km;13 km BaratDaya KAB-CIANJUR-JABAR;
85;07/12/2022 23:10:06 WIB;-6.83 - 107.07;1.4;10 Km;7 km BaratDaya KAB-CIANJUR-JABAR;
86;07/12/2022 22:33:17 WIB;-6.75 - 107.1;1.6;10 Km;9 km BaratLaut KAB-CIANJUR-JABAR;
87;07/12/2022 17:59:51 WIB;-7.52 - 107.32;2.9;10 Km;59 km BaratDaya KAB-BANDUNG-JABAR;
88;07/12/2022 15:29:51 WIB;-6.85 - 107.08;1.9;11 Km;7 km BaratDaya KAB-CIANJUR-JABAR;
89;07/12/2022 13:58:12 WIB;-7.17 - 108.03;1.9;10 Km;15 km TimurLaut KAB-GARUT-JABAR;
90;07/12/2022 08:03:51 WIB;-6.8 - 107.13;2.1;18 Km;2 km BaratLaut KAB-CIANJUR-JABAR;
91;06/12/2022 17:36:10 WIB;-6.76 - 106.94;2.1;10 Km;17 km TimurLaut KOTA-SUKABUMI-JABAR;
92;06/12/2022 16:05:20 WIB;-6.78 - 107.35;2.2;13 Km;19 km BaratLaut KAB-BANDUNG;
93;06/12/2022 10:39:52 WIB;-6.97 - 107.28;1.8;10 Km;22 km Tenggara KAB-CIANJUR-JABAR;
94;06/12/2022 10:13:27 WIB;-7.96 - 107.38;2.6;27 Km;100 km BaratDaya KAB-GARUT-JABAR;
95;06/12/2022 07:10:45 WIB;-6.84 - 107.08;1.7;10 Km;6 km BaratDaya KAB-CIANJUR-JABAR;
96;06/12/2022 00:53:39 WIB;-6.77 - 107.1;1.8;12 Km;7 km BaratLaut KAB-CIANJUR-JABAR;
97;05/12/2022 22:35:22 WIB;-6.82 - 107.07;2.0;10 Km;7 km BaratLaut KAB-CIANJUR-JABAR;
98;05/12/2022 20:57:04 WIB;-6.9 - 105.39;3.0;10 Km;Info Gempa Mag:3.0, 05-Dec-22 20:57:04 WIB, Lok:6.90 LS - 105.39 BT (33 km BaratDaya SUMUR-BANTEN), Kedlmn: 10 Km ::BMKG;
99;05/12/2022 20:18:07 WIB;-6.79 - 107.09;1.6;14 Km;6 km BaratLaut KAB-CIANJUR-JABAR;
100;05/12/2022 19:36:03 WIB;-8.1 - 107.9;2.6;31 Km;79 km BaratDaya KAB-PANGANDARAN-JABAR;
101;05/12/2022 16:00:14 WIB;-6.84 - 107.09;1.8;10 Km;5 km BaratDaya KAB-CIANJUR-JABAR;
102;04/12/2022 19:15:23 WIB;-6.92 - 107.12;1.9;10 Km;11 km BaratDaya KAB-CIANJUR-JABAR;
103;04/12/2022 13:43:15 WIB;-6.69 - 107.32;2.1;12 Km;20 km BaratDaya KAB-PURWAKARTA-JABAR;
104;04/12/2022 09:57:36 WIB;-7.35 - 108.25;3.0;10 Km;7 km Tenggara KOTA-TASIKMALAYA-JABAR;Dirasakan Di Tasikmalaya II-III MMI
105;04/12/2022 09:25:13 WIB;-6.92 - 107.1;2.2;10 Km;11 km BaratDaya KAB-CIANJUR-JABAR;Dirasakan Di Warungkondang, Cibeber, Gekbrong, Cilaku II MMI
106;04/12/2022 08:06:01 WIB;-7.33 - 107.63;2.7;96 Km;32 km BaratDaya KAB-GARUT-JABAR;
107;04/12/2022 05:25:13 WIB;-6.83 - 107.14;1.7;10 Km;0 km Tenggara KAB-CIANJUR-JABAR;
108;04/12/2022 05:01:02 WIB;-6.82 - 107.06;4.2;10 Km;8 km BaratLaut KAB-CIANJUR-JABAR;
109;04/12/2022 04:39:54 WIB;-7.38 - 108.23;2.8;10 Km;8 km Tenggara KOTA-TASIKMALAYA-JABAR;
110;04/12/2022 04:34:49 WIB;-7.39 - 108.23;2.9;10 Km;9 km Tenggara KOTA-TASIKMALAYA-JABAR;
111;04/12/2022 02:54:53 WIB;-7.71 - 107.51;2.6;82 Km;69 km BaratDaya KAB-GARUT-JABAR;
112;03/12/2022 18:26:35 WIB;-6.84 - 107.08;3.1;10 Km;6 km BaratDaya KAB-CIANJUR-JABAR;
113;03/12/2022 17:59:00 WIB;-7.64 - 107.51;3.2;103 Km;63 km BaratDaya KAB-GARUT-JABAR;
114;03/12/2022 16:49:41 WIB;-7.51 - 107.52;6.4;118 Km;52 km BaratDaya Kab. Garut - Jawa Barat;
115;03/12/2022 10:25:02 WIB;-6.81 - 107.06;1.8;10 Km;8 km BaratLaut KAB-CIANJUR-JABAR;
116;03/12/2022 05:09:53 WIB;-6.79 - 107.07;2.2;10 Km;8 km BaratLaut KAB-CIANJUR-JABAR;
117;03/12/2022 03:37:21 WIB;-8.11 - 107.92;4.5;26 Km;78 km BaratDaya KAB-PANGANDARAN-JABAR;Pangandaran III MMI, Tasikmalaya, Garut II-III MMI, Ciamis, Banjar II MMI
118;02/12/2022 20:41:29 WIB;-6.8 - 107.09;1.5;10 Km;5 km BaratLaut KAB-CIANJUR-JABAR;
119;02/12/2022 17:47:32 WIB;-6.83 - 107.09;2.2;10 Km;5 km BaratDaya KAB-CIANJUR-JABAR;
120;02/12/2022 14:34:23 WIB;-6.92 - 107.1;2.0;11 Km;11 km BaratDaya KAB-CIANJUR-JABAR;
121;02/12/2022 14:12:49 WIB;-6.76 - 107.08;1.9;10 Km;9 km BaratLaut KAB-CIANJUR-JABAR;
122;02/12/2022 13:03:30 WIB;-6.84 - 107.1;2.5;10 Km;4 km BaratDaya KAB-CIANJUR-JABAR;Dirasakan di Kota Cianjur, Cibeber, Warungkondang II MMI
123;02/12/2022 09:05:25 WIB;-6.92 - 106.93;2.2;10 Km;25 km BaratDaya KAB-CIANJUR-JABAR;
124;02/12/2022 07:42:00 WIB;-6.84 - 107.1;2.5;10 Km;4 km BaratDaya KAB-CIANJUR-JABAR;Dirasakan di Pamoyanan II MMI
125;02/12/2022 06:53:05 WIB;-6.78 - 107.07;2;10 Km;8 Km BaratLaut KAB-CIANJUR-JABAR;
126;02/12/2022 02:54:00 WIB;-6.78 - 107.08;1.4;10 Km;8 km BaratLaut KAB-CIANJUR-JABAR;
127;02/12/2022 01:41:36 WIB;-6.83 - 107.06;1.2;10 Km;8 Km BaratDaya KAB-CIANJUR-JABAR;
128;02/12/2022 01:29:12 WIB;-6.83 - 107.06;1.5;10 Km;8 km BaratDaya KAB-CIANJUR-JABAR;
129;02/12/2022 00:36:40 WIB;-6.81 - 107.09;1.6;14 Km;5 Km BaratLaut Kab. Cianjur - Jabar;
130;01/12/2022 21:51:59 WIB;-6.84 - 107.04;1.8;19 Km;11 Km BaratDaya Kab. Cianjur - Jabar;
131;01/12/2022 18:54:56 WIB;-6.82 - 107.06;1.6;11 Km;8 Km BaratLaut Kab Cianjur - Jabar;
132;01/12/2022 16:05:07 WIB;-6.76 - 107.1;2.4;10 Km;8 Km Barat Laut Kab. Cianjur - Jabar;
133;01/12/2022 15:58:48 WIB;-6.82 - 107.03;2.8;10 Km;12 Km Barat Laut Kab Cianjur - Jabar;
134;01/12/2022 14:44:19 WIB;-6.84 - 107.07;2.1;10 Km;7 km BaratDaya KAB-CIANJUR-JABAR;
135;01/12/2022 14:29:19 WIB;-6.83 - 107.08;2.9;11 Km;6 km BaratDaya KAB-CIANJUR-JABAR;Dirasakan di Cugenang III MMI, Pamoyanan II-III MMI, dan Warung Kondang II MMI
136;01/12/2022 10:41:10 WIB;-6.8 - 107.14;1.8;10 Km;2 km TimurLaut KAB-CIANJUR-JABAR;
137;01/12/2022 09:51:24 WIB;-6.81 - 107.04;1.4;10 Km;11 km BaratLaut KAB-CIANJUR-JABAR;
138;01/12/2022 09:42:08 WIB;-6.83 - 107.03;2.1;10 Km;12 km BaratDaya KAB-CIANJUR-JABAR;
139;01/12/2022 04:33:43 WIB;-6.81 - 107.2;1.3;20 Km;6 km TimurLaut KAB-CIANJUR-JABAR;
140;01/12/2022 02:58:33 WIB;-6.83 - 107.06;1.6;22 Km;8 km BaratDaya KAB-CIANJUR-JABAR;
141;01/12/2022 02:50:54 WIB;-6.86 - 107.2;1.9;10 Km;5 km BaratDaya KAB-CIANJUR-JABAR;
142;01/12/2022 02:50:31 WIB;-6.79 - 107.09;2.1;10 Km;6 km BaratLaut KAB-CIANJUR-JABAR;
143;01/12/2022 02:16:43 WIB;-6.85 - 107.07;2.0;10 Km;8 km BaratDaya KAB-CIANJUR-JABAR;
144;01/12/2022 00:04:24 WIB;-6.82 - 107.09;1.9;10 Km;5 km BaratLaut KAB-CIANJUR-JABAR;
